Statistical profiling result from isolate-0x82080c000-47318-v8-47318.log, (9016 ticks, 4124 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18    0.2%          /opt/homebrew/Cellar/node@22/22.21.1_4/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
     10    0.1%    0.1%  Builtin: CompileLazy
      9    0.1%    0.1%  JS: *set status file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:57:15
      9    0.1%    0.1%  JS: *set file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:376:8
      9    0.1%    0.1%  JS: *getContainer file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggContainerFactory.js:16:24
      9    0.1%    0.1%  JS: *destroyObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggObjectFactory.js:33:31
      9    0.1%    0.1%  JS: *ReadableState node:internal/streams/readable:262:23
      9    0.1%    0.1%  Builtin: StringEqual
      9    0.1%    0.1%  Builtin: RegExpReplace
      9    0.1%    0.1%  Builtin: PromiseCapabilityDefaultResolve
      9    0.1%    0.1%  Builtin: MapPrototypeDelete
      9    0.1%    0.1%  Builtin: MapIteratorPrototypeNext
      9    0.1%    0.1%  Builtin: CallApiCallbackOptimizedNoProfiling
      9    0.1%    0.1%  Builtin: BaselineLeaveFrame
      8    0.1%    0.1%  JS: *setStreamTimeout node:internal/stream_base_commons:236:26
      8    0.1%    0.1%  JS: *parseBody /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:81:27
      8    0.1%    0.1%  JS: *meta file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/meta.js:6:31
      8    0.1%    0.1%  JS: *OutgoingMessage node:_http_outgoing:106:25
      8    0.1%    0.1%  JS: *AsyncResource node:async_hooks:168:14
      8    0.1%    0.1%  Builtin: StrictEqual_Baseline
      8    0.1%    0.1%  Builtin: StoreIC
      8    0.1%    0.1%  Builtin: ObjectGetPrototypeOf
      8    0.1%    0.1%  Builtin: JSBuiltinsConstructStub
      7    0.1%    0.1%  JS: *resume_ node:internal/streams/readable:1254:17
      7    0.1%    0.1%  JS: *preCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:20:20
      7    0.1%    0.1%  JS: *objectPreDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:44:27
      7    0.1%    0.1%  JS: *Readable.read node:internal/streams/readable:647:35
      7    0.1%    0.1%  JS: *ContextHandler.getContextCallback file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextHandler.js:17:45
      7    0.1%    0.1%  Builtin: PromiseResolve
      7    0.1%    0.1%  Builtin: JSEntryTrampoline
      6    0.1%    0.1%  RegExp: ^(?:\/(?=$))?$
      6    0.1%    0.1%  JS: *runInAsyncScope node:async_hooks:207:18
      6    0.1%    0.1%  JS: *resOnFinish node:_http_server:1007:21
      6    0.1%    0.1%  JS: *preDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/background-task/dist/BackgroundTaskHelper.js:24:25
      6    0.1%    0.1%  JS: *postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-runtime/dist/EggObjectAopHook.js:32:21
      6    0.1%    0.1%  JS: *onFinish node:_http_outgoing:1080:18
      6    0.1%    0.1%  JS: *onFinish /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:96:21
      6    0.1%    0.1%  JS: *notfound file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/notfound.js:2:35
      6    0.1%    0.1%  JS: *Readable.on node:internal/streams/readable:1127:33
      6    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:47:45
      6    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:35:51
      6    0.1%    0.1%  JS: *<anonymous> /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/node_modules/koa-compose/index.js:31:19
      6    0.1%    0.1%  Builtin: RegExpPrototypeExecSlow
      6    0.1%    0.1%  Builtin: PromiseResolveThenableJob
      6    0.1%    0.1%  Builtin: NumberToString
      6    0.1%    0.1%  Builtin: JSEntry
      6    0.1%    0.1%  Builtin: ForInFilter
      6    0.1%    0.1%  Builtin: CallWithArrayLike
      6    0.1%    0.1%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      6    0.1%    0.1%  Builtin: ArrayIncludesSmiOrObject
      5    0.1%    0.1%  JS: *writeHead node:_http_server:351:19
      5    0.1%    0.1%  JS: *onevent /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/ee-first/index.js:81:26
      5    0.1%    0.1%  JS: *nosniff file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/nosniff.js:14:34
      5    0.1%    0.1%  JS: *normalize node:path:1308:12
      5    0.1%    0.1%  JS: *getContext file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/ContextHandler.js:5:22
      5    0.1%    0.1%  JS: *endReadable node:internal/streams/readable:1682:21
      5    0.1%    0.1%  JS: *emit node:events:466:44
      5    0.1%    0.1%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/node_modules/koa-compose/index.js:35:23
      5    0.1%    0.1%  JS: *callPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:56:32
      5    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:40:60
      5    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:152:45
      5    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa-static-cache/dist/index.js:82:12
      5    0.1%    0.1%  Builtin: SetConstructor
      5    0.1%    0.1%  Builtin: LoadGlobalIC
      5    0.1%    0.1%  Builtin: KeyedLoadIC
      4    0.0%    0.0%  RegExp: ;$
      4    0.0%    0.0%  JS: *xssProtection file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/xssProtection.js:3:40
      4    0.0%    0.0%  JS: *teggRootProto file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/controller-plugin/dist/app/middleware/tegg_root_proto.js:3:40
      4    0.0%    0.0%  JS: *overrideMethod file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-override/dist/esm/index.js:7:35
      4    0.0%    0.0%  JS: *normalizeString node:path:93:25
