Statistical profiling result from isolate-0xa6480c000-47317-v8-47317.log, (9021 ticks, 4225 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  JS: *teggRootProto file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/controller-plugin/dist/app/middleware/tegg_root_proto.js:3:40
      4    0.0%    0.0%  JS: *resOnFinish node:_http_server:1007:21
      4    0.0%    0.0%  JS: *parserOnMessageComplete node:_http_common:140:33
      4    0.0%    0.0%  JS: *has file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:363:8
      4    0.0%    0.0%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:51:31
      4    0.0%    0.0%  JS: *get node:internal/streams/duplex:161:8
      4    0.0%    0.0%  JS: *get file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/node_modules/ylru/dist/esm/index.js:17:8
      4    0.0%    0.0%  JS: *emitCloseNT node:internal/streams/destroy:133:21
      4    0.0%    0.0%  JS: *callPreDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:62:32
      4    0.0%    0.0%  JS: *addListener node:events:610:58
      4    0.0%    0.0%  JS: *_send node:_http_outgoing:399:49
      4    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:47:45
      4    0.0%    0.0%  Builtin: SuspendGeneratorBaseline
      4    0.0%    0.0%  Builtin: StrictEqual
      4    0.0%    0.0%  Builtin: DeleteProperty
      4    0.0%    0.0%  Builtin: BaselineOutOfLinePrologue
      4    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      4    0.0%    0.0%  Builtin: ArrayPrototypeShift
      3    0.0%    0.0%  RegExp: ;$
      3    0.0%    0.0%  JS: ^parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
      3    0.0%    0.0%  JS: *writeOrBuffer node:internal/streams/writable:548:23
      3    0.0%    0.0%  JS: *siteFile file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/site_file.js:6:35
      3    0.0%    0.0%  JS: *parseBody /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:81:27
      3    0.0%    0.0%  JS: *onevent /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/ee-first/index.js:81:26
      3    0.0%    0.0%  JS: *logger node:internal/util/debuglog:120:18
      3    0.0%    0.0%  JS: *getMetaData file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core-decorator/dist/util/MetadataUtil.js:14:23
      3    0.0%    0.0%  JS: *getLifecycleList file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:11:21
      3    0.0%    0.0%  JS: *getContextProto file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/ContextObjectGraph.js:19:27
      3    0.0%    0.0%  JS: *get writable file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:342:17
      3    0.0%    0.0%  JS: *get node:internal/streams/writable:1010:8
      3    0.0%    0.0%  JS: *fileURLToPath node:internal/url:1605:23
      3    0.0%    0.0%  JS: *endReadable node:internal/streams/readable:1682:21
      3    0.0%    0.0%  JS: *emitReadable_ node:internal/streams/readable:830:23
      3    0.0%    0.0%  JS: *callbackTrampoline node:internal/async_hooks:118:28
      3    0.0%    0.0%  JS: *afterWriteTick node:internal/streams/writable:693:24
      3    0.0%    0.0%  JS: *_destroy node:_http_incoming:218:55
      3    0.0%    0.0%  Builtin: WeakCollectionSet
      3    0.0%    0.0%  Builtin: StringConstructor
      3    0.0%    0.0%  Builtin: CallWithArrayLike
      3    0.0%    0.0%  Builtin: CallForwardVarargs
      3    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      2    0.0%    0.0%  RegExp: ^(?:\/(?=$))?$
      2    0.0%    0.0%  JS: *wrappedController file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/EggRouter.js:236:31
      2    0.0%    0.0%  JS: *socketListenerWrap node:_http_server:1236:37
      2    0.0%    0.0%  JS: *set node:_http_outgoing:251:16
      2    0.0%    0.0%  JS: *resume_ node:internal/streams/readable:1254:17
      2    0.0%    0.0%  JS: *postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-runtime/dist/EggObjectAopHook.js:32:21
      2    0.0%    0.0%  JS: *overrideMethod file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-override/dist/esm/index.js:7:35
      2    0.0%    0.0%  JS: *onError node:_http_incoming:439:17
      2    0.0%    0.0%  JS: *notAllow file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/methodnoallow.js:12:29
      2    0.0%    0.0%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:139:15
      2    0.0%    0.0%  JS: *index /Users/fengmk2/git/github.com/eggjs/benchmark/simple/app/controller/async.js:3:16
      2    0.0%    0.0%  JS: *getOrStore file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-common-util/dist/MapUtil.js:2:22
      2    0.0%    0.0%  JS: *getMetaData file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/metadata/dist/impl/EggPrototypeImpl.js:49:16
      2    0.0%    0.0%  JS: *getContext file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/ContextHandler.js:5:22
      2    0.0%    0.0%  JS: *get node:internal/bootstrap/node:100:8
      2    0.0%    0.0%  JS: *callPreCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:50:31
      2    0.0%    0.0%  JS: *Writable.write node:internal/streams/writable:504:36
      2    0.0%    0.0%  JS: *AbstractEggContext file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:10:8
      2    0.0%    0.0%  JS: *<anonymous> node:internal/validators:460:42
      2    0.0%    0.0%  JS: *<anonymous> /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/node_modules/koa-compose/index.js:31:19
      2    0.0%    0.0%  Builtin: WeakMapConstructor
      2    0.0%    0.0%  Builtin: SubString
      2    0.0%    0.0%  Builtin: StringPrototypeTrim
      2    0.0%    0.0%  Builtin: StringPrototypeMatch
      2    0.0%    0.0%  Builtin: StoreICBaseline
      2    0.0%    0.0%  Builtin: SetPrototypeAdd
      2    0.0%    0.0%  Builtin: SetConstructor
      2    0.0%    0.0%  Builtin: NumberToString
      2    0.0%    0.0%  Builtin: NewRestArgumentsElements
      2    0.0%    0.0%  Builtin: JSEntryTrampoline
      2    0.0%    0.0%  Builtin: JSEntry
      2    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      2    0.0%    0.0%  Builtin: DefineNamedOwnIC
      2    0.0%    0.0%  Builtin: CreateObjectWithoutProperties
      2    0.0%    0.0%  Builtin: CreateEmptyLiteralObject
      2    0.0%    0.0%  Builtin: CopyDataProperties
      2    0.0%    0.0%  Builtin: ConstructFunction
      2    0.0%    0.0%  Builtin: Construct
      2    0.0%    0.0%  Builtin: BaselineLeaveFrame
      2    0.0%    0.0%  Builtin: AllocateInYoungGeneration
      2    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
      1    0.0%    0.0%  JS: ~parserOnIncoming node:_http_server:1073:26
      1    0.0%    0.0%  JS: ~get logger file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/dist/lifecycle.js:57:15
      1    0.0%    0.0%  JS: ~_transform /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/fast-glob/out/providers/transformers/entry.js:11:15
      1    0.0%    0.0%  JS: ~LRU file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/schedule/node_modules/ylru/dist/esm/index.js:6:16
      1    0.0%    0.0%  JS: ^writeOrBuffer node:internal/streams/writable:548:23
      1    0.0%    0.0%  JS: ^wrappedController file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/EggRouter.js:236:31
      1    0.0%    0.0%  JS: ^set file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:376:8
      1    0.0%    0.0%  JS: ^realpathSync node:fs:2710:22
      1    0.0%    0.0%  JS: ^preDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/background-task/dist/BackgroundTaskHelper.js:24:25
      1    0.0%    0.0%  JS: ^parserOnIncoming node:_http_server:1073:26
      1    0.0%    0.0%  JS: ^packageExportsResolve node:internal/modules/esm/resolve:586:31
      1    0.0%    0.0%  JS: ^onParserExecuteCommon node:_http_server:947:31
      1    0.0%    0.0%  JS: ^objectPreCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:32:26
      1    0.0%    0.0%  JS: ^init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/ContextInitiator.js:13:15
      1    0.0%    0.0%  JS: ^init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/AppLoadUnit.js:20:15
      1    0.0%    0.0%  JS: ^getPackageJSONURL node:internal/modules/package_json_reader:280:27
      1    0.0%    0.0%  JS: ^getMetadata /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/reflect-metadata/Reflect.js:365:29
      1    0.0%    0.0%  JS: ^getInstance file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/dist/loader/context_loader.js:78:21
      1    0.0%    0.0%  JS: ^get search node:internal/url:1105:13
