Statistical profiling result from isolate-0xb6280c000-47319-v8-47319.log, (9031 ticks, 4182 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     10    0.1%    0.1%  Builtin: ObjectGetPrototypeOf
      9    0.1%    0.1%  JS: *set file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:376:8
      9    0.1%    0.1%  JS: *nextTick node:internal/process/task_queues:113:18
      9    0.1%    0.1%  JS: *get file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/request.js:472:8
      9    0.1%    0.1%  JS: *end node:_http_outgoing:1085:45
      9    0.1%    0.1%  JS: *doWrite node:internal/streams/writable:587:17
      9    0.1%    0.1%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/node_modules/koa-compose/index.js:35:23
      9    0.1%    0.1%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/node_modules/koa-compose/index.js:35:23
      9    0.1%    0.1%  JS: *Readable.on node:internal/streams/readable:1127:33
      9    0.1%    0.1%  JS: *ContextHandler.getContextCallback file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextHandler.js:17:45
      9    0.1%    0.1%  Builtin: SetOrSetIteratorToList
      9    0.1%    0.1%  Builtin: MapPrototypeDelete
      9    0.1%    0.1%  Builtin: MapIteratorPrototypeNext
      9    0.1%    0.1%  Builtin: KeyedLoadIC
      9    0.1%    0.1%  Builtin: ForInFilter
      9    0.1%    0.1%  Builtin: BaselineOutOfLinePrologue
      9    0.1%    0.1%  Builtin: AsyncFunctionResolve
      8    0.1%    0.1%  JS: *onParserExecute node:_http_server:874:25
      8    0.1%    0.1%  JS: *first /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/ee-first/index.js:24:15
      8    0.1%    0.1%  JS: *endReadable node:internal/streams/readable:1682:21
      8    0.1%    0.1%  JS: *ctxLifecycleMiddleware file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/ctx_lifecycle_middleware.js:3:45
      8    0.1%    0.1%  JS: *addListener node:events:610:58
      8    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa-static-cache/dist/index.js:82:12
      8    0.1%    0.1%  Builtin: ToString
      8    0.1%    0.1%  Builtin: LoadICTrampoline_Megamorphic
      8    0.1%    0.1%  Builtin: LoadICTrampoline
      8    0.1%    0.1%  Builtin: FastNewObject
      7    0.1%    0.1%  RegExp: ^\s*?<
      7    0.1%    0.1%  JS: *teggRootProto file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/controller-plugin/dist/app/middleware/tegg_root_proto.js:3:40
      7    0.1%    0.1%  JS: *setStreamTimeout node:internal/stream_base_commons:236:26
      7    0.1%    0.1%  JS: *set body file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:312:13
      7    0.1%    0.1%  JS: *onwrite node:internal/streams/writable:615:17
      7    0.1%    0.1%  JS: *emit node:events:466:44
      7    0.1%    0.1%  JS: *_write node:internal/streams/writable:453:16
      7    0.1%    0.1%  JS: *Readable.read node:internal/streams/readable:647:35
      7    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:152:45
      7    0.1%    0.1%  Builtin: LoadGlobalIC
      7    0.1%    0.1%  Builtin: ArrayFrom
      6    0.1%    0.1%  JS: *runInAsyncScope node:async_hooks:207:18
      6    0.1%    0.1%  JS: *removeListener node:events:681:28
      6    0.1%    0.1%  JS: *postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:36:21
      6    0.1%    0.1%  JS: *meta file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/meta.js:6:31
      6    0.1%    0.1%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/ContextInitiator.js:13:15
