Statistical profiling result from isolate-0xc7480c000-47316-v8-47316.log, (9008 ticks, 2069 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      9    0.1%    0.1%  JS: *meta file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/meta.js:6:31
      9    0.1%    0.1%  JS: *get file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/request.js:472:8
      9    0.1%    0.1%  Builtin: WeakMapConstructor
      9    0.1%    0.1%  Builtin: ObjectGetPrototypeOf
      9    0.1%    0.1%  Builtin: JSConstructStubGeneric
      9    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
      8    0.1%    0.1%  JS: *siteFile file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/site_file.js:6:35
      8    0.1%    0.1%  JS: *setStreamTimeout node:internal/stream_base_commons:236:26
      8    0.1%    0.1%  JS: *rangeMiddleware file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/dist/app/middleware/static.js:10:29
      8    0.1%    0.1%  JS: *endReadable node:internal/streams/readable:1682:21
      8    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/Router.js:138:27
      8    0.1%    0.1%  Builtin: StrictEqual_Baseline
      8    0.1%    0.1%  Builtin: PromiseCapabilityDefaultResolve
      8    0.1%    0.1%  Builtin: MapIteratorPrototypeNext
      8    0.1%    0.1%  Builtin: ForInFilter
      8    0.1%    0.1%  Builtin: CreateShallowObjectLiteral
      7    0.1%    0.1%  JS: *teggRootProto file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/controller-plugin/dist/app/middleware/tegg_root_proto.js:3:40
      7    0.1%    0.1%  JS: *onParserExecute node:_http_server:874:25
      7    0.1%    0.1%  JS: *_write node:internal/streams/writable:453:16
      7    0.1%    0.1%  JS: *ReadableState node:internal/streams/readable:262:23
      7    0.1%    0.1%  JS: *ContextHandler.getContextCallback file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextHandler.js:17:45
      7    0.1%    0.1%  Builtin: PromiseResolveThenableJob
      7    0.1%    0.1%  Builtin: JSEntryTrampoline
      7    0.1%    0.1%  Builtin: ArrayPrototypeValues
      6    0.1%    0.1%  JS: *set node:_http_outgoing:251:16
      6    0.1%    0.1%  JS: *removeListener node:events:681:28
      6    0.1%    0.1%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:51:31
      6    0.1%    0.1%  JS: *addListener node:events:610:58
      6    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:152:45
      6    0.1%    0.1%  Builtin: LoadICTrampoline_Megamorphic
      6    0.1%    0.1%  Builtin: FastNewObject
      6    0.1%    0.1%  Builtin: CreateObjectWithoutProperties
      5    0.1%    0.1%  JS: ^parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
      5    0.1%    0.1%  JS: *write_ node:_http_outgoing:943:16
      5    0.1%    0.1%  JS: *resOnFinish node:_http_server:1007:21
      5    0.1%    0.1%  JS: *onevent /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/ee-first/index.js:81:26
      5    0.1%    0.1%  JS: *onFinish node:_http_outgoing:1080:18
      5    0.1%    0.1%  JS: *objectPreDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:44:27
      5    0.1%    0.1%  JS: *getObjectLifecycleList file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:26:27
      5    0.1%    0.1%  JS: *endReadableNT node:internal/streams/readable:1692:23
      5    0.1%    0.1%  JS: *emit node:events:466:44
      5    0.1%    0.1%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/node_modules/koa-compose/index.js:35:23
      5    0.1%    0.1%  JS: *destroyObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggObjectFactory.js:33:31
      5    0.1%    0.1%  JS: *_send node:_http_outgoing:399:49
      5    0.1%    0.1%  JS: *BaseContextClass file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/dist/base_context_class.js:14:16
      5    0.1%    0.1%  JS: *AsyncResource node:async_hooks:168:14
      5    0.1%    0.1%  JS: *AbstractEggContext file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:10:8
      5    0.1%    0.1%  Builtin: StringIndexOf
      5    0.1%    0.1%  Builtin: NumberToString
      5    0.1%    0.1%  Builtin: MapPrototypeDelete
      5    0.1%    0.1%  Builtin: LoadICTrampoline
      5    0.1%    0.1%  Builtin: KeyedStoreIC
      5    0.1%    0.1%  Builtin: CallVarargs
      5    0.1%    0.1%  Builtin: BaselineOutOfLinePrologue
      5    0.1%    0.1%  Builtin: BaselineLeaveFrame
      5    0.1%    0.1%  Builtin: ArrayIncludesSmiOrObject
      4    0.0%    0.0%  JS: *unenroll node:timers:76:18
      4    0.0%    0.0%  JS: *set status file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:57:15
      4    0.0%    0.0%  JS: *resume_ node:internal/streams/readable:1254:17
      4    0.0%    0.0%  JS: *preCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:20:20
      4    0.0%    0.0%  JS: *isSafePath file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/utils.js:34:27
      4    0.0%    0.0%  JS: *index /Users/fengmk2/git/github.com/eggjs/benchmark/simple/app/controller/async.js:3:16
      4    0.0%    0.0%  JS: *getContext file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/ContextHandler.js:5:22
      4    0.0%    0.0%  JS: *get node:_http_incoming:109:16
      4    0.0%    0.0%  JS: *containPrototype file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/AppLoadUnit.js:50:21
      4    0.0%    0.0%  JS: *OutgoingMessage node:_http_outgoing:106:25
      4    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:47:45
      4    0.0%    0.0%  Builtin: StringPrototypeReplace
      4    0.0%    0.0%  Builtin: StoreIC
      4    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      4    0.0%    0.0%  Builtin: JSEntry
      4    0.0%    0.0%  Builtin: CopyDataProperties
      4    0.0%    0.0%  Builtin: CallForwardVarargs
      4    0.0%    0.0%  Builtin: CallBoundFunction
      4    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      4    0.0%    0.0%  Builtin: ArrayPrototypeConcat
      3    0.0%    0.0%  RegExp: ^(?:\/(?=$))?$
      3    0.0%    0.0%  JS: *socketListenerWrap node:_http_server:1236:37
      3    0.0%    0.0%  JS: *slowCases node:internal/util:237:19
      3    0.0%    0.0%  JS: *runInAsyncScope node:async_hooks:207:18
      3    0.0%    0.0%  JS: *parseBody /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:81:27
      3    0.0%    0.0%  JS: *overrideMethod file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-override/dist/esm/index.js:7:35
      3    0.0%    0.0%  JS: *notAllow file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/methodnoallow.js:12:29
      3    0.0%    0.0%  JS: *initAsyncResource node:internal/timers:164:27
      3    0.0%    0.0%  JS: *has file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:363:8
      3    0.0%    0.0%  JS: *getMetaData file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core-decorator/dist/util/MetadataUtil.js:14:23
      3    0.0%    0.0%  JS: *get node:internal/streams/duplex:161:8
      3    0.0%    0.0%  JS: *get node:internal/bootstrap/node:100:8
      3    0.0%    0.0%  JS: *emitReadable node:internal/streams/readable:819:22
      3    0.0%    0.0%  JS: *callPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:56:32
      3    0.0%    0.0%  JS: *arrayClone node:events:892:20
      3    0.0%    0.0%  JS: *_unrefTimer node:net:520:52
      3    0.0%    0.0%  JS: *Readable.read node:internal/streams/readable:647:35
      3    0.0%    0.0%  JS: *BackgroundTaskHelper file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/background-task/dist/BackgroundTaskHelper.js:14:28
      3    0.0%    0.0%  JS: *<anonymous> node:internal/validators:460:42
      3    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:40:60
      3    0.0%    0.0%  Builtin: ToBooleanForBaselineJump
      3    0.0%    0.0%  Builtin: SetConstructor
      3    0.0%    0.0%  Builtin: RegExpReplace
      3    0.0%    0.0%  Builtin: RegExpPrototypeTest
      3    0.0%    0.0%  Builtin: RegExpPrototypeExecSlow
      3    0.0%    0.0%  Builtin: NewRestArgumentsElements
      3    0.0%    0.0%  Builtin: LoadICBaseline
      3    0.0%    0.0%  Builtin: LoadGlobalIC
      3    0.0%    0.0%  Builtin: KeyedLoadICTrampoline_Megamorphic
      3    0.0%    0.0%  Builtin: JSRunMicrotasksEntry
      3    0.0%    0.0%  Builtin: ConstructFunction
      3    0.0%    0.0%  Builtin: CloneFastJSArrayFillingHoles
      3    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      3    0.0%    0.0%  Builtin: CallWithArrayLike
      3    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      3    0.0%    0.0%  Builtin: ArrayPrototypeShift
      2    0.0%    0.0%  RegExp: ^\s*?<
      2    0.0%    0.0%  RegExp: ;$
      2    0.0%    0.0%  JS: ^nextTick node:internal/process/task_queues:113:18
      2    0.0%    0.0%  JS: ^matchKnownFields node:_http_incoming:276:26
      2    0.0%    0.0%  JS: ^logger node:internal/util/debuglog:120:18
